## memory, data ready
## threads ready
# starting GA
14789: pop m=80.715000 v=66.489551 f=48.108604; best m=82.857143 v=0.122449 f=81.142857
15008: pop m=80.868429 v=70.084490 f=47.436686; best m=82.857143 v=0.122449 f=81.142857
15229: pop m=80.839429 v=68.419837 f=48.063517; best m=82.857143 v=0.122449 f=81.142857
15457: pop m=80.753857 v=68.185918 f=47.326279; best m=82.857143 v=0.122449 f=81.142857
15681: pop m=81.009000 v=66.726449 f=48.316427; best m=82.857143 v=0.122449 f=81.142857
15906: pop m=80.993286 v=67.508449 f=47.995697; best m=82.857143 v=0.122449 f=81.142857
16132: pop m=80.776286 v=65.603061 f=48.446690; best m=82.857143 v=0.122449 f=81.142857
16348: pop m=80.866000 v=68.535184 f=47.984885; best m=82.857143 v=0.122449 f=81.142857
16572: pop m=80.972571 v=68.375061 f=48.063443; best m=82.857143 v=0.122449 f=81.142857
16789: pop m=80.845714 v=69.036000 f=47.692871; best m=82.857143 v=0.122449 f=81.142857
17004: pop m=80.633286 v=67.439184 f=47.591535; best m=82.857143 v=0.122449 f=81.142857
17217: pop m=80.838143 v=65.966449 f=48.639469; best m=82.857143 v=0.122449 f=81.142857
17432: pop m=80.825429 v=69.354082 f=47.527569; best m=82.857143 v=0.122449 f=81.142857
17656: pop m=80.948857 v=68.418245 f=48.110252; best m=82.857143 v=0.122449 f=81.142857
17869: pop m=80.854143 v=65.022327 f=48.701465; best m=82.857143 v=0.122449 f=81.142857
18088: pop m=80.835143 v=68.696980 f=47.524064; best m=82.857143 v=0.122449 f=81.142857
18326: pop m=80.857000 v=68.812286 f=47.955300; best m=82.857143 v=0.122449 f=81.142857
18537: pop m=80.938857 v=67.177265 f=48.121580; best m=82.857143 v=0.122449 f=81.142857
18750: pop m=80.884571 v=66.592204 f=48.361162; best m=82.857143 v=0.122449 f=81.142857
18971: pop m=81.079714 v=67.058653 f=48.616683; best m=82.857143 v=0.122449 f=81.142857
19210: pop m=81.037714 v=67.487551 f=48.372756; best m=82.857143 v=0.122449 f=81.142857
19454: pop m=80.818143 v=67.017510 f=48.003692; best m=82.857143 v=0.122449 f=81.142857
19683: pop m=80.990000 v=65.381347 f=48.387906; best m=82.857143 v=0.122449 f=81.142857
19899: pop m=80.743143 v=64.500408 f=48.792064; best m=82.857143 v=0.122449 f=81.142857
20127: pop m=81.048714 v=67.674245 f=48.286788; best m=82.857143 v=0.122449 f=81.142857
20362: pop m=80.830429 v=67.282694 f=48.354607; best m=82.857143 v=0.122449 f=81.142857
20593: pop m=80.669714 v=64.417673 f=48.629542; best m=82.857143 v=0.122449 f=81.142857
20821: pop m=80.879286 v=65.925102 f=48.511975; best m=82.857143 v=0.122449 f=81.142857
21042: pop m=80.667143 v=65.643510 f=48.412418; best m=82.857143 v=0.122449 f=81.142857
21290: pop m=80.870000 v=67.886735 f=47.522109; best m=82.857143 v=0.122449 f=81.142857
21512: pop m=80.899286 v=67.479224 f=47.819451; best m=82.857143 v=0.122449 f=81.142857
21747: pop m=80.819000 v=67.539714 f=48.578683; best m=82.857143 v=0.122449 f=81.142857
21973: pop m=81.033286 v=68.654367 f=47.957176; best m=82.857143 v=0.122449 f=81.142857
22222: pop m=80.867143 v=65.417388 f=48.618113; best m=82.857143 v=0.122449 f=81.142857
22441: pop m=80.913857 v=64.010245 f=48.759467; best m=82.857143 v=0.122449 f=81.142857
22661: pop m=81.073857 v=65.806939 f=48.707186; best m=82.857143 v=0.122449 f=81.142857
22871: pop m=80.822000 v=68.362082 f=48.028245; best m=82.857143 v=0.122449 f=81.142857
23096: pop m=80.911857 v=67.677551 f=47.891786; best m=82.857143 v=0.122449 f=81.142857
23310: pop m=80.952857 v=65.708367 f=48.219476; best m=82.857143 v=0.122449 f=81.142857
23530: pop m=80.869571 v=67.436204 f=47.933650; best m=82.857143 v=0.122449 f=81.142857
23747: pop m=80.897143 v=68.017265 f=47.936217; best m=82.857143 v=0.122449 f=81.142857
23963: pop m=80.768571 v=67.348735 f=47.673973; best m=82.857143 v=0.122449 f=81.142857
24187: pop m=80.886286 v=67.753224 f=47.935802; best m=82.857143 v=0.122449 f=81.142857
24402: pop m=80.760857 v=68.558245 f=47.706594; best m=82.857143 v=0.122449 f=81.142857
24626: pop m=80.862857 v=67.581796 f=48.111239; best m=82.857143 v=0.122449 f=81.142857
24850: pop m=81.053857 v=65.699796 f=48.751426; best m=82.857143 v=0.122449 f=81.142857
25070: pop m=80.849429 v=68.599878 f=47.998606; best m=82.857143 v=0.122449 f=81.142857
25291: pop m=81.012857 v=65.667347 f=48.490027; best m=82.857143 v=0.122449 f=81.142857
25506: pop m=80.779286 v=66.411143 f=48.286912; best m=82.857143 v=0.122449 f=81.142857
25718: pop m=80.718571 v=66.924122 f=47.568248; best m=82.857143 v=0.122449 f=81.142857
25954: pop m=80.919143 v=66.553020 f=47.957898; best m=82.857143 v=0.122449 f=81.142857
26176: pop m=80.866000 v=64.979633 f=48.691279; best m=82.857143 v=0.122449 f=81.142857
26411: pop m=80.891714 v=68.306327 f=47.758994; best m=82.857143 v=0.122449 f=81.142857
26637: pop m=80.961286 v=67.393673 f=48.485475; best m=82.857143 v=0.122449 f=81.142857
26882: pop m=80.858429 v=70.603061 f=47.269372; best m=82.857143 v=0.122449 f=81.142857
27096: pop m=80.827286 v=67.682694 f=47.696154; best m=82.857143 v=0.122449 f=81.142857
27328: pop m=80.842571 v=67.424816 f=48.003088; best m=82.857143 v=0.122449 f=81.142857
27548: pop m=80.890429 v=70.315714 f=47.635892; best m=82.857143 v=0.122449 f=81.142857
27771: pop m=80.864714 v=65.551837 f=48.688094; best m=82.857143 v=0.122449 f=81.142857
27968: pop m=80.839571 v=70.301143 f=47.352384; best m=82.857143 v=0.122449 f=81.142857
28200: pop m=80.936857 v=64.082531 f=48.835631; best m=82.857143 v=0.122449 f=81.142857
28420: pop m=80.697000 v=67.164082 f=47.681217; best m=82.857143 v=0.122449 f=81.142857
28633: pop m=80.841000 v=66.400327 f=48.026604; best m=82.857143 v=0.122449 f=81.142857
28854: pop m=80.890857 v=66.861878 f=47.812827; best m=82.857143 v=0.122449 f=81.142857
29076: pop m=80.934571 v=65.759673 f=48.435424; best m=82.857143 v=0.122449 f=81.142857
29293: pop m=81.016143 v=68.284980 f=48.480805; best m=82.857143 v=0.122449 f=81.142857
29512: pop m=80.798143 v=69.681673 f=47.323141; best m=82.857143 v=0.122449 f=81.142857
29734: pop m=81.005714 v=66.466327 f=48.431122; best m=82.857143 v=0.122449 f=81.142857
29950: pop m=80.828000 v=66.260082 f=47.744050; best m=82.857143 v=0.122449 f=81.142857
30180: pop m=80.793286 v=66.610735 f=48.004535; best m=82.857143 v=0.122449 f=81.142857
30408: pop m=80.773857 v=65.835306 f=48.208153; best m=82.857143 v=0.122449 f=81.142857
30622: pop m=80.949429 v=65.843020 f=48.716629; best m=82.857143 v=0.122449 f=81.142857
30853: pop m=80.951714 v=65.393429 f=48.333764; best m=82.857143 v=0.122449 f=81.142857
31067: pop m=80.843571 v=68.604898 f=47.731724; best m=82.857143 v=0.122449 f=81.142857
31300: pop m=80.842571 v=66.379796 f=47.984656; best m=82.857143 v=0.122449 f=81.142857
31544: pop m=80.905429 v=68.000816 f=47.919607; best m=82.857143 v=0.122449 f=81.142857
31760: pop m=80.775857 v=64.642286 f=48.777160; best m=82.857143 v=0.122449 f=81.142857
31992: pop m=80.975571 v=66.302571 f=48.873494; best m=82.857143 v=0.122449 f=81.142857
32217: pop m=80.983000 v=69.238245 f=47.800890; best m=82.857143 v=0.122449 f=81.142857
32439: pop m=80.877429 v=68.321469 f=47.642525; best m=82.857143 v=0.122449 f=81.142857
32660: pop m=80.887143 v=68.082041 f=47.748628; best m=82.857143 v=0.122449 f=81.142857
32878: pop m=80.871286 v=66.937306 f=48.198921; best m=82.857143 v=0.122449 f=81.142857
33103: pop m=80.819143 v=64.545551 f=48.572169; best m=82.857143 v=0.122449 f=81.142857
33324: pop m=80.712714 v=67.449673 f=47.697737; best m=82.857143 v=0.122449 f=81.142857
33541: pop m=80.752000 v=66.126286 f=48.071313; best m=82.857143 v=0.122449 f=81.142857
33765: pop m=80.760286 v=69.213959 f=47.506174; best m=82.857143 v=0.122449 f=81.142857
33995: pop m=80.770857 v=64.964939 f=48.437413; best m=82.857143 v=0.122449 f=81.142857
34244: pop m=80.911714 v=67.366122 f=48.027031; best m=82.857143 v=0.122449 f=81.142857
34464: pop m=81.012286 v=66.973143 f=48.518442; best m=82.857143 v=0.122449 f=81.142857
34681: pop m=81.049857 v=69.636245 f=47.308632; best m=82.857143 v=0.122449 f=81.142857
34898: pop m=80.888143 v=65.992490 f=48.510981; best m=82.857143 v=0.122449 f=81.142857
35121: pop m=80.851571 v=68.334531 f=48.054115; best m=82.857143 v=0.122449 f=81.142857
35357: pop m=80.942714 v=67.870327 f=47.947606; best m=82.857143 v=0.122449 f=81.142857
35576: pop m=80.994857 v=67.751224 f=47.995167; best m=82.857143 v=0.122449 f=81.142857
35788: pop m=80.907000 v=65.252000 f=48.702498; best m=82.857143 v=0.122449 f=81.142857
36009: pop m=80.966000 v=67.267143 f=48.087152; best m=82.857143 v=0.122449 f=81.142857
36241: pop m=80.942429 v=66.246612 f=48.303382; best m=82.857143 v=0.122449 f=81.142857
36458: pop m=80.987000 v=65.980449 f=48.603539; best m=82.857143 v=0.122449 f=81.142857
36670: pop m=80.843857 v=69.146122 f=47.514699; best m=82.857143 v=0.122449 f=81.142857
36890: pop m=80.915571 v=67.467265 f=48.597092; best m=82.857143 v=0.122449 f=81.142857
37106: pop m=80.751000 v=66.928367 f=47.981997; best m=82.857143 v=0.122449 f=81.142857
37320: pop m=80.948286 v=67.115224 f=48.469677; best m=82.857143 v=0.122449 f=81.142857
37546: pop m=80.889143 v=65.406449 f=48.162497; best m=82.857143 v=0.122449 f=81.142857
