## memory, data ready
## threads ready
# starting GA
0: pop m=165.464263 v=2300.896366 f=-183.230153; best m=165.736842 v=531.772853 f=-3.720333
21654: pop m=174.894737 v=177.850260 f=102.917457; best m=175.473684 v=0.459834 f=170.490610
22015: pop m=175.080316 v=193.851889 f=98.759903; best m=175.473684 v=0.459834 f=170.490610
22358: pop m=174.915158 v=190.748986 f=100.385988; best m=175.473684 v=0.459834 f=170.490610
22680: pop m=174.899053 v=189.889363 f=99.655553; best m=175.473684 v=0.459834 f=170.490610
23005: pop m=174.993316 v=181.178482 f=102.485966; best m=175.473684 v=0.459834 f=170.490610
23329: pop m=174.970632 v=185.583263 f=101.875833; best m=175.473684 v=0.459834 f=170.490610
23653: pop m=175.012789 v=193.712521 f=99.475224; best m=175.473684 v=0.459834 f=170.490610
23974: pop m=175.028421 v=186.761928 f=101.991690; best m=175.473684 v=0.459834 f=170.490610
24298: pop m=174.975316 v=185.740526 f=101.697059; best m=175.473684 v=0.459834 f=170.490610
24621: pop m=174.981263 v=184.493197 f=102.379133; best m=175.473684 v=0.459834 f=170.490610
24945: pop m=175.000368 v=178.844593 f=103.316211; best m=175.473684 v=0.459834 f=170.490610
25269: pop m=174.930105 v=197.313385 f=98.313223; best m=175.473684 v=0.459834 f=170.490610
25599: pop m=174.954895 v=185.703512 f=100.443948; best m=175.473684 v=0.459834 f=170.490610
25923: pop m=174.933368 v=187.223108 f=100.335415; best m=175.473684 v=0.459834 f=170.490610
26248: pop m=175.000474 v=190.823801 f=100.749971; best m=175.473684 v=0.459834 f=170.490610
26573: pop m=174.980789 v=186.825861 f=100.543541; best m=175.473684 v=0.459834 f=170.490610
26899: pop m=175.018211 v=193.144643 f=100.352816; best m=175.473684 v=0.459834 f=170.490610
27225: pop m=175.001895 v=179.412737 f=102.626713; best m=175.473684 v=0.459834 f=170.490610
27550: pop m=174.877158 v=197.525391 f=97.741824; best m=175.473684 v=0.459834 f=170.490610
27875: pop m=174.931053 v=180.926222 f=102.173191; best m=175.473684 v=0.459834 f=170.490610
28198: pop m=174.941263 v=185.101618 f=101.899687; best m=175.473684 v=0.459834 f=170.490610
28520: pop m=175.010579 v=193.846548 f=98.976968; best m=175.473684 v=0.459834 f=170.490610
28844: pop m=174.872421 v=188.148720 f=99.964923; best m=175.473684 v=0.459834 f=170.490610
29163: pop m=175.003000 v=184.168194 f=102.357107; best m=175.473684 v=0.459834 f=170.490610
29483: pop m=174.967105 v=183.845778 f=100.055084; best m=175.526316 v=0.459834 f=170.543242
29804: pop m=174.984684 v=185.821429 f=101.388307; best m=175.526316 v=0.459834 f=170.543242
30127: pop m=174.992789 v=183.244211 f=102.268635; best m=175.526316 v=0.459834 f=170.543242
30454: pop m=174.955526 v=191.778172 f=99.278090; best m=175.526316 v=0.459834 f=170.543242
30775: pop m=174.988316 v=183.580150 f=101.568494; best m=175.526316 v=0.459834 f=170.543242
31097: pop m=174.961789 v=192.215712 f=98.871255; best m=175.526316 v=0.459834 f=170.543242
31451: pop m=175.119684 v=183.269130 f=101.497864; best m=175.473684 v=0.354571 f=171.097977
31806: pop m=175.032737 v=190.027346 f=100.040954; best m=175.578947 v=0.243767 f=171.950803
32131: pop m=174.988368 v=184.458460 f=100.847281; best m=175.578947 v=0.243767 f=171.950803
32453: pop m=175.099000 v=173.568748 f=103.637541; best m=175.578947 v=0.243767 f=171.950803
32778: pop m=175.189474 v=178.639490 f=104.027279; best m=175.578947 v=0.243767 f=171.950803
33104: pop m=175.014474 v=184.754848 f=102.050184; best m=175.578947 v=0.243767 f=171.950803
33428: pop m=174.992105 v=180.870787 f=101.680637; best m=175.578947 v=0.243767 f=171.950803
33747: pop m=175.152684 v=176.922837 f=103.903884; best m=175.578947 v=0.243767 f=171.950803
34070: pop m=175.255263 v=186.409657 f=100.668373; best m=175.578947 v=0.243767 f=171.950803
34394: pop m=175.100789 v=187.580765 f=100.232834; best m=175.578947 v=0.243767 f=171.950803
34718: pop m=175.063421 v=185.546017 f=101.188543; best m=175.578947 v=0.243767 f=171.950803
35043: pop m=175.014000 v=182.300731 f=103.389864; best m=175.578947 v=0.243767 f=171.950803
35365: pop m=175.060895 v=189.417679 f=100.488856; best m=175.578947 v=0.243767 f=171.950803
35690: pop m=175.094895 v=195.135695 f=99.498140; best m=175.578947 v=0.243767 f=171.950803
36014: pop m=175.096421 v=186.575136 f=101.366996; best m=175.578947 v=0.243767 f=171.950803
36338: pop m=175.062526 v=189.848366 f=99.955322; best m=175.578947 v=0.243767 f=171.950803
36661: pop m=175.025632 v=192.852238 f=99.735541; best m=175.578947 v=0.243767 f=171.950803
36984: pop m=175.055211 v=174.870543 f=104.283577; best m=175.578947 v=0.243767 f=171.950803
37307: pop m=174.980684 v=191.559319 f=99.363484; best m=175.578947 v=0.243767 f=171.950803
37629: pop m=174.977474 v=186.524776 f=101.688740; best m=175.578947 v=0.243767 f=171.950803
37953: pop m=175.181158 v=178.305535 f=104.604387; best m=175.578947 v=0.243767 f=171.950803
38274: pop m=175.033737 v=190.371335 f=100.699777; best m=175.578947 v=0.243767 f=171.950803
38600: pop m=175.005000 v=180.394615 f=103.427611; best m=175.578947 v=0.243767 f=171.950803
38924: pop m=175.167421 v=181.764327 f=102.733360; best m=175.578947 v=0.243767 f=171.950803
39247: pop m=175.008632 v=187.519380 f=100.519567; best m=175.578947 v=0.243767 f=171.950803
39572: pop m=175.046895 v=193.729363 f=99.826405; best m=175.578947 v=0.243767 f=171.950803
39896: pop m=175.178789 v=178.741795 f=102.921964; best m=175.578947 v=0.243767 f=171.950803
40219: pop m=175.036526 v=178.712288 f=103.992561; best m=175.578947 v=0.243767 f=171.950803
40543: pop m=175.090263 v=179.415175 f=104.220521; best m=175.578947 v=0.243767 f=171.950803
40888: pop m=175.018684 v=177.903579 f=104.051854; best m=175.578947 v=0.243767 f=171.950803
41246: pop m=175.155632 v=182.014571 f=102.429233; best m=175.578947 v=0.243767 f=171.950803
41570: pop m=174.929053 v=188.701014 f=100.326096; best m=175.578947 v=0.243767 f=171.950803
41892: pop m=175.038211 v=188.763961 f=101.186308; best m=175.578947 v=0.243767 f=171.950803
42214: pop m=175.119579 v=179.226726 f=103.419743; best m=175.578947 v=0.243767 f=171.950803
42537: pop m=175.022158 v=184.595224 f=102.431371; best m=175.578947 v=0.243767 f=171.950803
42860: pop m=174.986632 v=184.033058 f=100.555520; best m=175.578947 v=0.243767 f=171.950803
43185: pop m=175.070263 v=175.339812 f=104.842659; best m=175.578947 v=0.243767 f=171.950803
43506: pop m=174.986947 v=183.830305 f=100.846418; best m=175.578947 v=0.243767 f=171.950803
43829: pop m=175.079632 v=182.885579 f=101.759640; best m=175.578947 v=0.243767 f=171.950803
44152: pop m=175.018737 v=181.287396 f=101.491902; best m=175.578947 v=0.243767 f=171.950803
